la198201 201A 15.0
la198201 201B  9.5
la198201 202A 19.0
la198201 203B 16.0
la198201 204A 13.0
la198201 204B 10.0
la198201 205A 18.0
la198201 205B 15.0
la198201 206A 10.0
la198201 207A 12.5
la198201 208A 13.0
la198201 209A 10.0
la198201 210A 18.0
la198201 210B 12.0
la198201 210D 13.0
la198201 210E 10.0
la198201 211D 10.0
la198201 211E 20.0
la198201 211C 15.0
la198201 212B 10.0
la199371 201A 20.0
la199371 201B 15.0
la199371 202A 11.0
la199371 203B 14.0
la199371 204A 20.0
la199371 204B 15.0
la199371 205A 13.5
la199371 205B 12.9
la199371 206A 20.0
la199371 207A 17.0
la199371 208A 16.0
la199371 209A 10.5
la199371 210A 15.0
la199371 210B 14.0
la199371 210D 15.0
la199371 210E 14.0
la199371 211D 19.0
la199371 211E 16.5
la199371 211C  9.0
la199371 212B 19.0
