la198937 101A 16.5
la198937 102C 16.0
la198937 103B 10.0
la198937 104D 15.0
la198937 105C 18.0
la198937 106C 19.0
la198937 106D  8.0
la198937 107B 13.5
la198937 107C  9.5
la198937 108B 10.0
la198937 109C 16.0
la198937 110A 12.0
la198937 111A 11.5
la198937 112A 11.0
la198937 112B 13.5
la198937 131A 15.5
la198937 132A 17.0
la198937 133A 12.5
la198773 101A 19.0
la198773 102C 10.0
la198773 103B 14.0
la198773 104D 13.5
la198773 105C 11.0
la198773 106C 15.5
la198773 106D 19.5
la198773 107B 15.0
la198773 107C 20.0
la198773 108B 16.5
la198773 109C 10.0
la198773 110A 17.5
la198773 111A  9.0
la198773 112A 10.5
la198773 112B  5.5
la198773 131A 17.5
la198773 132A 12.5
la198773 133A 20.0
